iter	Passed	Remaining
0	3	3348
1	6	3175
2	9	3096
3	12	3052
4	15	3046
5	18	3035
6	21	3025
7	24	3007
8	27	2985
9	30	2979
10	32	2966
11	35	2959
12	38	2943
13	41	2938
14	44	2942
15	47	2937
16	50	2932
17	53	2923
18	56	2918
19	59	2917
20	62	2921
21	65	2914
22	68	2909
23	71	2909
24	74	2908
25	77	2910
26	80	2903
27	83	2897
28	86	2890
29	89	2887
30	92	2881
31	95	2875
32	97	2869
33	100	2864
34	103	2859
35	107	2870
36	110	2872
37	113	2870
38	116	2865
39	119	2860
40	122	2859
41	125	2856
42	128	2851
43	131	2848
44	134	2843
45	137	2848
46	140	2844
47	143	2839
48	146	2837
49	149	2834
50	152	2830
51	154	2825
52	158	2823
53	160	2817
54	163	2814
55	166	2810
56	169	2807
57	172	2803
58	175	2798
59	178	2794
60	181	2791
61	184	2788
62	187	2783
63	190	2779
64	192	2775
65	195	2771
66	198	2767
67	201	2763
68	204	2758
69	207	2755
70	210	2751
71	213	2748
72	216	2745
73	219	2741
74	221	2737
75	224	2734
76	227	2730
77	230	2727
78	233	2723
79	236	2719
80	239	2717
81	242	2714
82	245	2712
83	248	2708
84	251	2704
85	254	2701
86	257	2698
87	260	2695
88	262	2691
89	265	2688
90	268	2686
91	271	2683
92	274	2679
93	277	2675
94	280	2672
95	283	2669
96	286	2666
97	289	2662
98	292	2659
99	295	2657
100	298	2660
101	301	2657
102	304	2654
103	307	2651
104	310	2647
105	313	2643
106	316	2641
107	319	2638
108	322	2635
109	325	2632
110	328	2629
111	331	2626
112	334	2622
113	337	2619
114	339	2616
115	342	2612
116	345	2609
117	348	2606
118	351	2602
119	354	2598
120	357	2594
121	360	2592
122	363	2590
123	366	2588
124	369	2585
125	372	2582
126	375	2580
127	378	2576
128	381	2574
129	384	2571
130	387	2568
131	390	2564
132	393	2562
133	396	2559
134	399	2556
135	401	2553
136	404	2550
137	407	2547
138	410	2543
139	413	2541
140	416	2538
141	419	2534
142	422	2531
143	425	2528
144	428	2526
145	431	2522
146	434	2520
147	437	2517
148	440	2515
149	443	2512
150	446	2509
151	449	2506
152	452	2504
153	455	2501
154	458	2498
155	461	2496
156	464	2493
157	467	2489
158	470	2486
159	472	2483
160	475	2479
161	478	2476
162	481	2473
163	484	2470
164	487	2466
165	490	2463
166	493	2460
167	496	2458
168	499	2456
169	502	2455
170	506	2453
171	509	2451
172	512	2448
173	515	2446
174	518	2443
175	521	2440
176	524	2438
177	527	2435
178	530	2432
179	533	2429
180	536	2426
181	539	2424
182	542	2421
183	545	2418
184	548	2415
185	551	2412
186	554	2409
187	557	2407
188	560	2404
189	563	2401
190	566	2398
191	569	2396
192	572	2393
193	575	2390
194	578	2387
195	581	2383
196	584	2381
197	587	2378
198	590	2375
199	593	2372
200	596	2369
201	599	2366
202	601	2363
203	604	2360
204	607	2357
205	610	2354
206	614	2353
207	617	2351
208	620	2349
209	624	2347
210	627	2345
211	630	2343
212	633	2341
213	637	2339
214	640	2337
215	643	2335
216	647	2336
217	651	2336
218	655	2336
219	658	2334
220	661	2331
221	664	2329
222	667	2327
223	671	2326
224	674	2323
225	677	2321
226	681	2319
227	684	2316
228	687	2315
229	690	2312
230	693	2309
231	696	2306
232	699	2303
233	702	2299
234	705	2296
235	708	2293
236	711	2290
237	714	2287
238	717	2283
239	720	2280
240	723	2277
241	726	2274
242	729	2271
243	732	2268
244	735	2265
245	738	2262
246	741	2259
247	744	2256
248	747	2253
249	750	2250
250	753	2247
251	756	2244
252	759	2241
253	762	2238
254	765	2235
255	767	2231
256	770	2228
257	773	2225
258	776	2222
259	779	2219
260	782	2215
261	785	2212
262	788	2209
263	791	2206
264	794	2202
265	797	2199
266	800	2196
267	802	2193
268	805	2189
269	808	2186
